NR_VOTAVEL;NM_VOTAVEL;NM_URNA;SG_PARTIDO;RESULTADO;TOTAL_VOTOS
11211;William Souza Soares Da Silva;William Soares;PP;SUPLENTE;208
30444;Liliane Medeiros De Morais;Lila Medeiros;NOVO;SUPLENTE;204
11007;Silvia Rodrigues Martins Da Silva;Silvia Guaran?;PP;SUPLENTE;203
27127;Jose Vasconcelos Pessoa;Zeca Do Tempero;DC;N?O ELEITO;202
15100;Cletomar Simpl?cio Correia E S?;Cleto Correia;MDB;SUPLENTE;201
33444;Eduardo Caetano Ferreira;Irm?o Eduardo Caetano;MOBILIZA;N?O ELEITO;201
45145;Ant?nio Da Silva;Toinho Da ?gua;PSDB;N?O ELEITO;200
45234;Leonidas Dos Santos Melo;China;PSDB;N?O ELEITO;200
45500;J?natas Rosendo Dos Santos;Jonatas Rosendo;PSDB;N?O ELEITO;200
27700;Carlos Alberto Do Nascimento;Carlos Alberto;DC;N?O ELEITO;198
27197;Adriana Gomes Do Nascimento;Mission?ria Adriana;DC;N?O ELEITO;197
45555;Wellington Jos? Gomes;Wellington Jos?;PSDB;N?O ELEITO;196
27100;Jacilene Maria Nascimento De Fran?a;Joice Do Entra Apulso;DC;N?O ELEITO;194
27789;Thais Azevedo S? De Oliveira;Dra. Thais Azevedo;DC;N?O ELEITO;194
30303;Alexandre Jose Da Costa Carvalho;Alexandre Carvalho;NOVO;SUPLENTE;187
70770;Almir Augusto Pinho Da Silva;Almir De Biriba;AVANTE;SUPLENTE;187
18207;Leopoldina Silvestre Da Silva Barros;Leopoldina Silvestre;REDE;SUPLENTE;185
25223;Leonardo Agabes Pilar Da Silva;Leo Cabe?a;PRD;SUPLENTE;184
55222;Ellinson Jose Ferreira De Lima;Ellinsson Rodovi?rio;PSD;SUPLENTE;183
55000;Rossiane Ebrahim Dowsley Coura De Menezes;Ane Ebrahim;PSD;SUPLENTE;181
30012;Eurizelia Alves De Araujo Moura;Zelia Moura;NOVO;SUPLENTE;180
11411;Vilhenia Cristina Filgueira Dos Santos;Vivi;PP;SUPLENTE;177
30004;Elisangela Gleyse Costa Mendonca;Ellis Mendonca;NOVO;SUPLENTE;176
11333;Elbania Severina Dos Santos;Elba Santos;PP;SUPLENTE;175
10100;Geraldo Tavares Da Silva;Geraldo Tavares Gt;REPUBLICANOS;SUPLENTE;174
55339;Marcelo Rodrigues Da Silva;Marcelo Rodrigues;PSD;SUPLENTE;174
10190;Mara Cecilia Da Cunha Guimar?es;Mara Tea Da Inclusao;REPUBLICANOS;SUPLENTE;171
